69.02;14.683;1083.64;63800;63500;63200;ОРЕЛ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
138.67;18.486;1308.81;63800;63500;63200;ОРЕЛ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
10.34;18.486;1308.81;65800;65500;65200;НОВОЧЕРКАССК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
46.01;18.486;1308.81;63800;63500;63200;НИЖНИЙ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
125.60;18.989;1344.43;66800;66500;66200;НАЛЬЧИК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
323.84;18.499;1309.72;66800;66500;66200;МАХАЧКАЛА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
227.29;18.825;1332.83;63800;63500;63200;ЛОБНЯ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
155.39;18.498;1309.64;63800;63500;63200;ЛИПЕЦК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
144.73;19.001;1307.26;63800;63500;63200;КУРСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
21.24;19.001;1212.25;63800;63500;63200;КИРОВ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
115.72;18.825;1332.83;63800;63500;63200;КАЛУГА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
166.31;18.802;1331.17;63800;63500;63200;КАЗАНЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
52.92;18.486;1216.38;63800;63500;63200;ИЖЕВСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
227.13;18.486;1308.81;63800;63500;63200;ВОРОНЕЖ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
78.47;18.837;1201.80;63800;63500;63200;ВОЛОГДА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
131.48;18.825;1295.18;63800;63500;63200;ВОЛГОГРАД;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
97.62;18.767;1328.69;63800;63500;63200;ВЛАДИМИР;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
168.07;18.626;1374.63;66800;66500;66200;ВЛАДИКАВКАЗ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
103.51;18.860;1335.32;63800;63500;63200;БРЯНСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
89.76;18.954;1341.94;63800;63500;63200;БЕЛГОРОД_КРЕЙДА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
0.01;7.476;504.63;57500;57500;57500;ЛОБНЯ;Арматура А500С;14мм.;(6м);ГОСТ 34028-2016;Арматура;6;
0.22;15.000;1092.00;65800;65500;65200;ПЯТИГОРСК;Арматура А500С;14мм.;(12м);ГОСТ 34028-2016;Арматура;12;
1.42;1438.000;95483.19;66400;66100;65800;УФА;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;6477.477;
71.52;1452.102;96419.57;66400;66100;65800;УЛЬЯНОВСК;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;6541;
22.94;1434.120;95225.57;66400;66100;65800;ТВЕРЬ;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;6460;
2.89;1446.000;96014.39;66400;66100;65800;САРАНСК;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;6513.513;
21.63;1439.750;95599.40;66400;66100;65800;САМАРА;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;650;
1.44;1441.999;95748.72;66400;66100;65800;ПИТЕР_ФОРНОСОВО;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;6495.49;
38.80;1459.125;96885.90;66400;66100;65800;КАЗАНЬ;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;6485;
35.72;1438.000;95483.20;66400;66100;65800;ИЖЕВСК;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;3559.406;
0.06;56.663;3116.47;52500;52500;52500;ЛОБНЯ;Арматура А240С(А1);28мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;11.7;
1.20;45.045;3324.32;68800;68500;68200;УГЛИ;Арматура А240С(А1);25мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;11.7;
38.34;45.045;3346.84;69800;69500;69200;ТИТАРОВКА;Арматура А240С(А1);25мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;11.7;
9.93;46.086;3424.21;69800;69500;69200;СТАВРОПОЛЬ;Арматура А240С(А1);25мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;11.7;
9.44;45.237;3315.91;68800;68500;68200;САРАТОВ;Арматура А240С(А1);25мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;11.75;
19.98;0.000;0.00;68800;68500;68200;САМАРА;Арматура А240С(А1);25мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;0;
4.72;45.395;3395.53;69800;69500;69200;РОСТОВ;Арматура А240С(А1);25мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;11.7;
2.92;45.045;3301.80;68800;68500;68200;ПЕНЗА;Арматура А240С(А1);25мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;11.7;
0.22;44.998;3298.37;68800;68500;68200;ЛОБНЯ;Арматура А240С(А1);25мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;11.7;
20.08;45.045;3301.80;68800;68500;68200;ЛИПЕЦК;Арматура А240С(А1);25мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;11.7;
86.74;45.911;3365.26;68800;68500;68200;ВОРОНЕЖ;Арматура А240С(А1);25мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;11.7;
18.86;45.548;3338.68;68800;68500;68200;БЕЛГОРОД_КРЕЙДА;Арматура А240С(А1);25мм.;(11,7м)_Ст3;ГОСТ 34028-2016;Арматура;11.7;
